restaurant_id,score,inspection_date
192,96,20130419
192,92,20120626
194,90,20140307
194,88,20140305
194,90,20130107
198,96,20140505
198,90,20130904
198,100,20121127
198,96,20120320
199,94,20140505
199,78,20130904
199,88,20121127
199,90,20120320
200,92,20140317
200,85,20130710
200,88,20121024
200,96,20120312
201,96,20140211
201,90,20130415
201,91,20120827
208,91,20140313
208,92,20130605
208,81,20120823
216,100,20140626
216,100,20131017
216,100,20130306
216,100,20120605
216,100,20120216
217,94,20140624
217,100,20131209
217,100,20130207
217,100,20120614
221,91,20140122
221,91,20130724
221,91,20130131
221,90,20120815
221,100,20120209
226,89,20140910
226,86,20130326
226,94,20120912
226,88,20120130
230,80,20140205
230,64,20130124
230,73,20120402
231,92,20140902
231,92,20140204
231,85,20130508
231,85,20121106
231,81,20120522
234,79,20140415
234,86,20130506
234,82,20120326
236,88,20141118
236,96,20130522
236,94,20121012
236,98,20120301
239,90,20140507
239,77,20130917
239,83,20120830
239,86,20120320
240,79,20140724
240,79,20140206
240,81,20130523
240,65,20121213
247,83,20140909
247,94,20140304
247,89,20121114
247,96,20120328
251,96,20140612
251,92,20131113
251,88,20130315
251,92,20120222
253,100,20140505
253,98,20131101
253,98,20130501
253,98,20121009
256,98,20140303
256,98,20130319
258,94,20141003
258,96,20140407
258,94,20131017
258,94,20130405
258,88,20120905
258,94,20120130
260,92,20141209
260,86,20140520
260,92,20131119
260,87,20130627
260,90,20121211
260,90,20120621
264,94,20140324
264,81,20130819
264,90,20121205
267,93,20140528
267,77,20130731
267,83,20120731
268,96,20140829
268,98,20140224
268,96,20130805
268,89,20121203
268,94,20120504
272,72,20141203
272,86,20140422
272,94,20131106
272,87,20130514
272,88,20121029
272,87,20120405
273,71,20140813
273,85,20131118
273,84,20121213
273,82,20120405
275,94,20141006
275,96,20140328
275,94,20130712
275,87,20130424
275,87,20120828
275,90,20120131
276,98,20140806
276,100,20131216
276,100,20130524
276,100,20120808
279,100,20140909
279,98,20140107
279,96,20130716
279,100,20121126
279,94,20120322
281,96,20140905
281,93,20130930
281,96,20121017
281,92,20120418
283,98,20120924
283,94,20120221
286,90,20140327
286,49,20130725
286,60,20130211
290,80,20141210
290,96,20140409
290,87,20130930
290,85,20121009
290,91,20120330
298,94,20140919
298,96,20140121
298,94,20130516
298,94,20120914
299,92,20140306
299,86,20130724
299,75,20121217
299,83,20120619
300,96,20141126
300,96,20140507
300,96,20130823
300,90,20130214
300,94,20120625
302,94,20140304
302,94,20121210
302,94,20120530
305,85,20141204
305,88,20140321
305,96,20130916
305,96,20121203
305,96,20120427
315,88,20140310
315,90,20130812
315,92,20121207
315,92,20120403
318,94,20141107
318,94,20140205
318,94,20130729
318,90,20121019
318,92,20120410
320,85,20140611
320,85,20131209
320,86,20130715
320,82,20120925
320,88,20120326
323,100,20140114
323,98,20130709
323,98,20121001
323,98,20120319
325,67,20141202
325,92,20140306
325,92,20131001
325,88,20130710
325,83,20121017
325,83,20120405
326,88,20140522
326,79,20131203
326,92,20130103
326,81,20120514
328,94,20140305
328,92,20131010
328,90,20130422
328,96,20120927
328,96,20120327
332,100,20140725
332,100,20140210
332,100,20130809
332,100,20130222
332,100,20120810
332,100,20120430
335,79,20140306
335,66,20130617
335,80,20121009
335,82,20120507
337,94,20140402
337,78,20130624
337,86,20121116
337,91,20120305
379,100,20141202
379,89,20140317
379,80,20131118
379,91,20130329
379,98,20120731
379,85,20120222
380,100,20140606
380,100,20131125
380,100,20121221
380,100,20120613
383,88,20140822
383,92,20130919
383,94,20130110
383,94,20120606
384,88,20140506
384,94,20130722
384,94,20121210
384,91,20120514
385,90,20140306
385,100,20130415
385,94,20120917
385,80,20120426
386,83,20141024
386,90,20140424
386,83,20130827
386,94,20121211
389,100,20141217
389,100,20131011
389,100,20130228
389,100,20120427
393,94,20140625
393,94,20131223
393,96,20130429
393,98,20120912
393,98,20120221
394,100,20140625
394,100,20140124
394,100,20130509
394,100,20120921
395,100,20140625
395,98,20140123
395,100,20130509
395,100,20120921
397,96,20140624
397,100,20140124
397,100,20130509
397,100,20120921
398,100,20140227
398,100,20130614
398,100,20120907
400,94,20140613
400,100,20130801
400,98,20120524
401,100,20141219
401,100,20140619
401,100,20131003
401,100,20130228
401,100,20120427
403,85,20140530
403,94,20131127
403,91,20130528
403,92,20121120
403,92,20120611
409,100,20130614
409,100,20120514
413,87,20140627
413,84,20130917
413,76,20120904
415,87,20140729
415,83,20140124
415,82,20130514
415,87,20130110
415,98,20120322
420,72,20150108
420,86,20140520
420,88,20121105
421,79,20141021
421,94,20130510
421,98,20121012
421,100,20120207
422,86,20140626
422,75,20131119
422,83,20130128
422,92,20120207
423,85,20141209
423,88,20140716
423,77,20131001
423,96,20130628
423,98,20120201
424,94,20140410
424,94,20130821
424,100,20121119
424,96,20120417
425,92,20140328
425,85,20130628
425,87,20121026
425,96,20120322
428,100,20140826
428,100,20140306
428,100,20130314
428,100,20120928
428,100,20120327
429,92,20140521
429,96,20121115
429,98,20120326
430,86,20150114
430,91,20140522
430,98,20121114
430,89,20120309
431,91,20141119
431,98,20131029
431,90,20121114
431,92,20120307
435,96,20140827
435,94,20140108
435,94,20130415
435,90,20120719
436,81,20141021
436,87,20130925
436,80,20120830
438,88,20140402
438,88,20130710
438,85,20120320
442,83,20141022
442,92,20140313
442,78,20130508
442,86,20120927
442,94,20120320
443,89,20140915
443,90,20140210
443,75,20130510
443,85,20120717
443,77,20120210
444,88,20140617
444,92,20131217
444,85,20130905
444,90,20130108
444,83,20120524
447,85,20140604
447,94,20131023
447,72,20130103
447,86,20120328
448,85,20140818
448,84,20140108
448,88,20130313
448,88,20120822
448,65,20120315
462,98,20140915
462,100,20130529
462,100,20121024
462,100,20120322
463,88,20140627
463,92,20131218
463,94,20130329
463,74,20120724
468,82,20141107
468,84,20140506
468,85,20121114
469,71,20140507
469,64,20121218
470,94,20140204
470,89,20130416
470,94,20130102
470,91,20120419
472,88,20140625
472,77,20140210
472,90,20130314
472,77,20120522
473,92,20140827
473,82,20140204
473,92,20130607
473,70,20121106
473,83,20120522
475,94,20140811
475,92,20140205
475,83,20130208
475,94,20120829
477,83,20140604
477,87,20131120
477,90,20130226
477,92,20120612
477,86,20120130
479,82,20141003
479,98,20130122
479,84,20120326
480,72,20140806
480,88,20130314
480,89,20120904
483,75,20140916
483,98,20130328
483,90,20120910
484,86,20140822
484,89,20130122
484,90,20120524
485,90,20140911
485,90,20140205
485,92,20130415
485,94,20120829
485,96,20120130
486,98,20130328
486,100,20120912
488,81,20140916
488,90,20130521
488,98,20121019
488,98,20120302
489,77,20150112
489,83,20140617
489,77,20130923
489,64,20120719
494,67,20141118
494,89,20130109
495,81,20140408
495,86,20131009
495,78,20130117
495,86,20120524
496,90,20150107
496,84,20140508
496,88,20121101
500,81,20140811
500,77,20140327
500,88,20130820
500,72,20130110
500,89,20120608
502,92,20140421
502,100,20130625
502,92,20121116
502,94,20120430
503,89,20141029
503,90,20140210
503,83,20130716
503,92,20120530
505,78,20141024
505,94,20140604
505,100,20131112
505,98,20130204
505,88,20120620
507,94,20140825
507,96,20140207
507,100,20130808
507,100,20130102
507,96,20120727
508,98,20141110
508,100,20140424
508,100,20131119
508,100,20130206
508,100,20120726
509,57,20141229
509,92,20140514
509,90,20131113
509,85,20130506
509,89,20121029
509,83,20120412
510,90,20141103
510,92,20140505
510,79,20131118
510,85,20130501
510,92,20120829
510,88,20120305
519,98,20140609
519,96,20130628
519,92,20130111
519,96,20120412
520,90,20140611
520,79,20131218
520,82,20130515
520,83,20120727
521,94,20140724
521,89,20140129
521,94,20130805
521,83,20121204
521,92,20120613
522,100,20141212
522,100,20140530
522,98,20131115
522,96,20130522
522,100,20121017
522,91,20120202
527,81,20140926
527,88,20140604
527,94,20140109
527,86,20130618
527,83,20130110
527,80,20120131
529,90,20141009
529,86,20140721
529,92,20140114
529,94,20120924
529,94,20120214
538,96,20140714
538,92,20140224
538,83,20130826
538,86,20130212
538,83,20120709
539,98,20140319
539,96,20130925
539,100,20130315
539,91,20120913
539,87,20120307
542,92,20140610
542,88,20130625
542,85,20121129
542,96,20120229
544,87,20140805
544,92,20140226
544,88,20121220
547,96,20141210
547,100,20140424
547,100,20131119
547,100,20130523
547,98,20121206
547,98,20120611
551,96,20140610
551,83,20130925
551,98,20120814
552,83,20140805
552,87,20140210
552,81,20130627
552,83,20121016
552,88,20120313
557,92,20130814
557,92,20130214
558,96,20140211
558,88,20130508
558,94,20120621
562,100,20140402
562,100,20131003
562,93,20130328
562,100,20121015
562,100,20120404
567,91,20141219
567,100,20131003
567,94,20130301
567,100,20120427
573,94,20141023
573,94,20130917
573,96,20120504
580,96,20140811
580,96,20140129
580,94,20130516
580,98,20121024
580,93,20120411
587,90,20140626
587,88,20130927
587,84,20130221
588,90,20140812
588,85,20140310
588,89,20130626
588,96,20120918
588,76,20120223
589,84,20140423
589,76,20131113
589,90,20130506
589,92,20120925
589,74,20120409
591,92,20140512
591,90,20130912
591,90,20121218
597,90,20141120
597,98,20140319
597,89,20121005
597,100,20120316
606,77,20141114
606,90,20130409
606,92,20120928
606,96,20120217
610,73,20140528
610,86,20130930
610,90,20130207
615,96,20140708
615,100,20140106
615,92,20130411
615,81,20120919
615,79,20120426
619,89,20140811
619,88,20140211
619,90,20130822
619,93,20130116
619,85,20120604
625,96,20140207
625,96,20130801
625,90,20130220
625,90,20120411
627,100,20140617
627,92,20131216
627,81,20130826
627,100,20121029
627,100,20120424
628,92,20140609
628,93,20131216
628,91,20130722
628,96,20130122
628,91,20120725
628,91,20120201
631,96,20140203
631,94,20130828
631,89,20130318
631,89,20120924
631,98,20120328
634,77,20140203
634,76,20130910
634,71,20130318
634,65,20120911
634,69,20120313
639,92,20150120
639,96,20131018
639,92,20121114
639,92,20120509
642,100,20140306
642,100,20131028
642,100,20130502
642,100,20121017
642,96,20120405
645,98,20140210
645,98,20130814
645,98,20121128
645,98,20120515
659,92,20141124
659,98,20140314
659,86,20131028
659,89,20121227
659,88,20120530
665,86,20141104
665,88,20140213
665,88,20130501
665,72,20120321
667,78,20140520
667,79,20130116
670,84,20140826
670,92,20140124
670,88,20130619
670,83,20120621
673,100,20131213
673,86,20130607
673,98,20120516
687,83,20140618
687,82,20130509
687,60,20120208
691,86,20140827
691,91,20140109
691,94,20130523
691,92,20120801
695,98,20140619
695,96,20131231
695,94,20130410
695,92,20120711
696,92,20130808
696,96,20120515
696,94,20120206
700,81,20140123
700,68,20130507
700,76,20120724
703,75,20130514
703,86,20120906
703,90,20120228
709,92,20130416
709,90,20120403
711,74,20130409
726,90,20140113
726,96,20130328
726,87,20120907
726,92,20120209
727,92,20140428
727,84,20121023
727,92,20120210
728,92,20140428
728,92,20121022
728,94,20120208
729,81,20140213
729,81,20130712
729,84,20120614
741,83,20140818
741,86,20140203
741,86,20130503
741,98,20120801
744,90,20140423
744,85,20130805
744,85,20130214
744,92,20120927
744,84,20120208
750,89,20140307
750,89,20140214
750,89,20130311
750,98,20120327
754,92,20140303
754,88,20130204
754,86,20120229
758,100,20140609
758,96,20130628
758,98,20130111
758,96,20120412
759,100,20140609
759,100,20130628
759,98,20130111
759,98,20120412
760,94,20140919
760,96,20130611
760,96,20120625
765,96,20140529
765,96,20131119
765,90,20130204
765,96,20120524
768,100,20140512
768,94,20131008
768,98,20121113
768,73,20120314
770,83,20131106
770,90,20130606
770,80,20121017
770,100,20120217
773,94,20140527
773,94,20130925
773,100,20120618
774,92,20141104
774,94,20130923
774,100,20120618
783,92,20140506
783,91,20130813
783,94,20130123
783,91,20120625
786,90,20140627
786,96,20130326
786,93,20120606
790,86,20140910
790,93,20130207
790,96,20120509
792,90,20141124
792,94,20140206
792,90,20130530
792,94,20120328
795,96,20140318
795,96,20130610
795,94,20120420
796,71,20140909
796,76,20130326
796,88,20120912
798,90,20141121
798,90,20140213
798,89,20130712
798,96,20121218
798,87,20120207
799,98,20140319
799,100,20130716
799,96,20120518
805,64,20140224
805,71,20131008
805,83,20130220
809,74,20141106
809,86,20140311
809,82,20130726
809,84,20120614
811,96,20140521
811,90,20130610
811,96,20120611
816,89,20141103
816,87,20131209
816,94,20130326
816,94,20120730
816,78,20120320
821,80,20141105
824,92,20141007
824,78,20140211
824,87,20130521
824,87,20121024
824,93,20120418
826,96,20140605
826,92,20130607
826,96,20120621
827,98,20141204
827,92,20131218
827,74,20130221
827,98,20121016
827,94,20120307
830,87,20140620
830,94,20131220
830,92,20130401
830,96,20120709
835,71,20131114
835,83,20130108
835,71,20120215
840,85,20140604
840,72,20131030
840,79,20130102
840,85,20120419
842,85,20140502
842,81,20130508
842,94,20120613
843,74,20140507
843,66,20121218
845,92,20150114
845,92,20130522
845,100,20121004
847,85,20140919
847,88,20130412
847,92,20120910
850,85,20150113
850,90,20140509
850,80,20120928
852,66,20140410
852,82,20130716
852,73,20121017
852,76,20120629
852,67,20120321
854,80,20140903
854,84,20140205
854,69,20130228
854,56,20120316
856,96,20140729
856,94,20140109
856,94,20130604
856,94,20120705
860,81,20150106
860,94,20140516
860,92,20130822
860,88,20121126
860,90,20120426
865,96,20130409
865,96,20120620
870,94,20140930
870,94,20140311
870,82,20121102
870,82,20120214
873,100,20141003
873,100,20140225
873,100,20130129
873,100,20120613
874,82,20141226
874,96,20140425
874,90,20131119
874,86,20130509
874,92,20121004
876,92,20140902
876,94,20140218
876,88,20130615
876,84,20121126
876,100,20120215
880,73,20140812
880,82,20130114
880,86,20120217
884,87,20141006
884,92,20131113
884,90,20130115
884,94,20120706
886,100,20141105
886,100,20140225
886,86,20121116
886,92,20120208
891,79,20130228
891,83,20120726
892,100,20141205
892,86,20141121
892,89,20140514
892,93,20130816
892,100,20130214
892,100,20120620
902,90,20141002
902,96,20140313
902,94,20130604
902,98,20120920
903,75,20140221
903,62,20130711
903,90,20120601
905,93,20140825
905,100,20140312
905,100,20130724
905,100,20120926
905,100,20120308
910,88,20141121
910,84,20140402
910,85,20130726
910,94,20120323
911,92,20140903
911,89,20140227
911,100,20130313
911,100,20120320
917,86,20140430
917,89,20131002
917,94,20130116
917,96,20120608
919,92,20140311
919,96,20130829
919,87,20130425
919,90,20120919
919,94,20120425
920,90,20140311
920,90,20130829
920,88,20130425
920,100,20120919
920,94,20120425
921,89,20140311
921,96,20130829
921,85,20130425
921,90,20120919
921,94,20120425
929,92,20140603
929,86,20130604
929,96,20120419
935,91,20140423
935,91,20130917
935,96,20121128
935,61,20120328
941,100,20140422
941,80,20130806
941,96,20121025
941,90,20120214
943,84,20140514
943,88,20140131
943,90,20121126
943,82,20120525
949,90,20141021
949,96,20140612
949,100,20140211
949,92,20130228
949,92,20120815
949,86,20120307
950,92,20141201
950,98,20140424
950,96,20130422
950,94,20121016
950,90,20120403
951,100,20141119
951,100,20140519
951,96,20140129
951,84,20130801
951,94,20130201
951,98,20120706
952,91,20140623
952,85,20131216
952,86,20130416
952,94,20120731
961,90,20141118
961,85,20140529
961,92,20140106
961,93,20130628
961,94,20130129
961,90,20120503
966,84,20140508
966,81,20131001
966,63,20121204
968,90,20140902
968,94,20140407
968,85,20131008
968,94,20130409
968,94,20120828
968,96,20120307
969,77,20140423
969,72,20131007
969,82,20121024
969,82,20120409
972,76,20140728
972,81,20140212
972,91,20130718
972,87,20130116
972,94,20120612
977,94,20140715
977,88,20140227
977,85,20130822
977,91,20130313
977,94,20120809
977,92,20120215
983,90,20140818
983,87,20140122
983,88,20130625
983,88,20120821
983,78,20120327
984,91,20141103
984,90,20140430
984,92,20131024
984,83,20130114
984,86,20120510
985,81,20140505
985,74,20131024
985,66,20120821
993,100,20140313
993,100,20130529
993,100,20121010
994,90,20141209
994,98,20140520
994,98,20131119
994,91,20130627
994,92,20121211
994,98,20120621
999,98,20140205
999,98,20130802
999,92,20130124
999,92,20120925
999,90,20120313
1000,77,20140415
1000,74,20130916
1000,57,20130424
1000,81,20120917
1002,89,20150126
1002,94,20140402
1002,82,20130827
1002,83,20121207
1002,88,20120322
1003,94,20140512
1003,96,20131002
1003,84,20130430
1003,100,20120502
1005,81,20141114
1005,85,20140303
1005,86,20130725
1005,88,20130408
1005,77,20120328
1008,98,20140414
1008,98,20131011
1008,96,20130416
1008,86,20121023
1008,93,20120416
1018,100,20140325
1018,100,20130926
1018,98,20130320
1018,85,20120917
1018,96,20120322
1021,94,20140811
1021,89,20140128
1021,94,20130612
1021,93,20121108
1021,84,20120328
1022,83,20140519
1022,79,20140113
1022,60,20130626
1022,84,20120821
1026,94,20140307
1026,92,20130220
1027,90,20140304
1027,94,20130122
1027,90,20120306
1031,93,20140617
1031,96,20140129
1031,89,20130826
1031,93,20130304
1031,88,20120724
1031,90,20120130
1036,74,20140411
1036,88,20131107
1036,76,20130312
1036,94,20120209
1038,94,20130620
1038,84,20121108
1042,94,20140304
1042,90,20130301
1042,84,20120607
1043,96,20140512
1043,98,20131226
1043,96,20130213
1043,93,20120806
1043,90,20120313
1047,94,20140501
1047,92,20130605
1047,90,20120810
1048,96,20140603
1048,88,20130626
1048,94,20121214
1048,94,20120626
1060,96,20140603
1060,94,20140305
1060,98,20130103
1060,86,20120306
1065,89,20140716
1065,94,20131112
1065,91,20130103
1065,90,20120529
1075,94,20140310
1075,78,20130905
1075,92,20130312
1075,89,20120731
1081,100,20140417
1081,100,20131021
1081,98,20130425
1081,94,20121030
1081,98,20120427
1085,89,20141003
1085,100,20140303
1085,92,20130412
1085,94,20121002
1085,100,20120410
1090,98,20150126
1090,98,20131217
1090,90,20120823
1091,88,20141119
1091,90,20140416
1091,87,20130815
1091,100,20120829
1091,100,20120203
1093,96,20140130
1093,96,20130731
1093,82,20130117
1093,84,20120924
1093,89,20120319
1102,90,20140917
1102,96,20140204
1102,96,20130911
1102,96,20130322
1102,96,20120918
1102,96,20120330
1103,100,20140424
1103,96,20131004
1103,94,20130509
1103,100,20120501
1111,100,20120924
1116,96,20140829
1116,98,20140131
1116,98,20130709
1116,100,20120803
1122,100,20140616
1122,91,20131205
1122,100,20130530
1122,100,20121017
1122,96,20120418
1124,90,20140625
1124,92,20131230
1124,94,20130206
1124,85,20120611
1125,94,20141202
1125,86,20140606
1125,91,20131025
1125,98,20121009
1125,100,20120316
1127,90,20140916
1127,92,20140307
1127,100,20130228
1127,100,20120404
1135,100,20131011
1135,94,20130205
1139,84,20130403
1139,86,20120418
1144,74,20141125
1144,79,20140325
1144,83,20130819
1144,96,20121127
1144,85,20120307
1146,83,20150122
1146,88,20140530
1146,70,20131107
1146,82,20130711
1146,90,20121012
1146,84,20120731
1147,100,20140801
1147,100,20140206
1147,100,20130805
1147,100,20130114
1147,98,20120628
1151,90,20140127
1151,96,20130207
1151,94,20120131
1154,93,20140417
1154,96,20131021
1154,89,20130426
1154,88,20121101
1154,92,20120427
1156,94,20141017
1156,94,20140618
1156,100,20131206
1156,94,20130424
1156,100,20120830
1156,96,20120131
1157,94,20140916
1157,90,20140220
1157,87,20130828
1157,92,20121026
1157,86,20120322
1159,92,20140602
1159,96,20130430
1159,94,20120914
1159,92,20120709
1172,98,20140730
1172,98,20140303
1172,100,20130905
1172,100,20130204
1172,91,20120717
1186,88,20140429
1186,92,20131125
1186,100,20130501
1186,75,20121025
1186,92,20120319
1188,100,20140102
1188,100,20130207
1190,96,20140820
1190,81,20140303
1190,87,20130814
1190,88,20130205
1190,91,20120131
1191,88,20140618
1193,98,20140422
1193,100,20130813
1193,86,20130212
1193,85,20120531
1194,100,20140610
1194,100,20130905
1194,96,20130214
1194,100,20120531
1199,100,20131010
1199,90,20130219
1199,85,20120606
1203,98,20141209
1203,94,20140311
1203,94,20130726
1203,94,20130207
1203,94,20120711
1203,90,20120306
1204,92,20141021
1204,96,20140410
1204,92,20131212
1204,92,20130228
1204,84,20120815
1204,88,20120307
1205,91,20140319
1205,96,20130905
1205,88,20130314
1205,94,20120822
1205,94,20120308
1207,94,20121213
1207,92,20120508
1208,85,20140328
1208,91,20130612
1208,92,20121107
1208,68,20120319
1216,74,20150112
1216,78,20140219
1216,74,20130719
1216,91,20120823
1219,88,20141215
1219,96,20140416
1219,91,20130830
1219,92,20120907
1219,92,20120207
1231,94,20140204
1231,82,20130801
1231,94,20130123
1231,92,20120926
1231,92,20120320
1232,92,20140602
1232,90,20130911
1232,92,20130123
1232,86,20120628
1241,88,20140805
1241,92,20140314
1241,87,20130828
1241,89,20130313
1241,90,20120817
1241,87,20120217
1243,92,20140729
1243,92,20140123
1243,83,20130606
1243,87,20120511
1244,79,20140721
1244,79,20130326
1244,90,20120813
1249,89,20140609
1249,90,20140108
1249,86,20130603
1249,92,20121212
1249,84,20120410
1259,96,20140404
1259,92,20130830
1259,94,20121219
1261,84,20140618
1261,81,20131009
1261,79,20121029
1262,84,20140430
1262,79,20130725
1262,65,20121211
1263,85,20140318
1263,88,20130531
1263,86,20120820
1265,98,20140530
1265,96,20131106
1265,84,20130321
1265,96,20120315
1266,96,20140428
1266,94,20130823
1266,94,20121227
1266,96,20120412
1269,100,20140502
1269,100,20130715
1269,100,20121130
1269,100,20120423
1273,89,20140225
1273,98,20130107
1273,85,20120207
1274,96,20140130
1274,96,20130731
1274,86,20130122
1274,94,20120924
1274,93,20120319
1280,100,20140613
1280,94,20131120
1280,100,20121126
1282,100,20140206
1282,100,20130805
1282,96,20130128
1282,96,20120928
1282,100,20120314
1287,96,20140121
1287,91,20130729
1287,92,20130114
1287,96,20120820
1287,88,20120302
1289,94,20140506
1289,92,20131022
1289,87,20130520
1289,89,20120723
1292,90,20140530
1292,90,20130910
1292,91,20130104
1294,94,20140506
1294,90,20131029
1294,92,20130522
1294,96,20120501
1296,100,20140414
1296,100,20131015
1296,94,20130417
1296,98,20121026
1296,98,20120417
1300,98,20140402
1300,94,20131011
1300,98,20130408
1300,100,20121023
1300,100,20120412
1304,84,20140523
1304,84,20131030
1304,88,20130313
1318,92,20141113
1318,96,20140611
1318,89,20130925
1318,96,20120531
1322,88,20140611
1322,98,20131223
1322,96,20130314
1322,98,20120313
1323,86,20150120
1323,86,20130919
1323,84,20120703
1327,83,20140912
1327,90,20140507
1327,87,20140121
1327,92,20130524
1327,92,20121128
1327,90,20120620
1327,83,20120224
1332,81,20140917
1332,92,20140220
1332,76,20130724
1332,92,20120430
1337,80,20140828
1337,77,20140414
1337,79,20130819
1337,98,20121206
1337,92,20120322
1339,94,20140908
1339,91,20140226
1339,94,20130808
1339,94,20121105
1339,96,20120215
1341,88,20140509
1341,90,20130802
1341,94,20121024
1344,90,20141112
1344,92,20140221
1344,92,20130520
1344,92,20120907
1345,84,20141118
1345,90,20140204
1345,90,20130523
1345,84,20120921
1347,85,20140424
1347,69,20130821
1347,81,20121107
1350,92,20140416
1350,92,20130129
1350,90,20120605
1351,98,20140212
1351,77,20130508
1351,100,20120711
1352,87,20140123
1352,89,20130621
1352,88,20121129
1352,90,20120403
1354,98,20140331
1354,94,20131001
1354,98,20130326
1354,100,20121002
1354,100,20120329
1358,70,20140306
1358,65,20130226
1358,85,20120307
1359,98,20140515
1359,98,20131122
1359,98,20130605
1359,98,20121119
1359,98,20120508
1362,89,20141001
1362,100,20140212
1362,96,20130719
1362,96,20121108
1362,100,20120510
1366,87,20140325
1366,98,20130926
1366,93,20130320
1366,100,20120917
1366,96,20120327
1368,96,20140625
1368,98,20130131
1368,96,20120508
1379,98,20140328
1379,98,20130930
1379,91,20130325
1379,98,20120807
1381,100,20140825
1381,100,20140207
1381,100,20130808
1381,96,20130102
1381,96,20120619
1389,92,20140509
1389,87,20130819
1389,90,20121126
1389,94,20120321
1391,94,20141107
1391,98,20140425
1391,96,20131018
1391,98,20120921
1391,92,20120301
1392,89,20131113
1392,81,20121130
1392,94,20120423
1395,80,20141204
1395,88,20140319
1395,86,20131030
1395,86,20130506
1395,84,20121004
1395,92,20120404
1396,87,20130926
1396,83,20130605
1396,93,20121108
1396,93,20120628
1398,84,20140813
1398,83,20140205
1398,74,20130517
1398,81,20120913
1399,98,20140206
1399,91,20130801
1399,100,20130129
1399,96,20120927
1399,100,20120321
1401,98,20140207
1401,100,20130823
1401,100,20121127
1401,100,20120404
1409,100,20141222
1409,96,20140314
1409,92,20130312
1409,92,20120607
1413,100,20141029
1413,100,20140411
1413,100,20131212
1413,100,20130514
1413,100,20121218
1413,100,20120511
1426,90,20141210
1426,86,20140505
1426,88,20131101
1426,90,20130501
1426,88,20121009
1426,88,20120213
1427,80,20141203
1427,96,20140226
1427,96,20130826
1427,86,20130225
1427,94,20120829
1427,96,20120223
1434,84,20140722
1434,96,20130617
1434,94,20120918
1434,91,20120413
